,pm25,pm10,o3,no2,so2,co,psi
2022-01-27,61.0,41.0,28.0,26.0,1.0,3.0,41.0
2022-01-28,58.0,43.0,28.0,26.0,1.0,3.0,41.0
2022-01-29,54.0,38.0,31.0,26.0,1.0,3.0,41.0
2022-01-30,56.0,40.0,25.0,26.0,1.0,3.0,41.0
2022-01-31,52.0,34.0,22.0,26.0,1.0,3.0,41.0
2022-02-01,43.0,31.0,24.0,26.0,1.0,2.0,41.0
2022-02-02,38.0,29.0,19.0,26.0,1.0,2.0,41.0
2022-02-03,37.0,36.0,18.0,26.0,1.0,3.0,41.0
2022-02-04,56.0,39.0,13.0,26.0,1.0,3.0,41.0
2022-02-05,50.0,33.0,12.0,26.0,1.0,3.0,41.0
2022-02-06,39.0,33.0,9.0,26.0,1.0,3.0,41.0
2022-02-07,41.0,28.0,11.0,26.0,1.0,3.0,41.0
2022-02-08,27.0,32.0,14.0,26.0,1.0,3.0,41.0
2022-02-09,43.0,29.0,6.0,26.0,1.0,3.0,41.0
2022-02-10,37.0,31.0,9.0,26.0,1.0,3.0,41.0
2022-02-11,37.0,26.0,19.0,26.0,1.0,3.0,41.0
2022-02-12,32.0,26.0,8.0,26.0,1.0,4.0,41.0
2022-02-13,25.0,26.0,10.0,26.0,1.0,4.0,41.0
2022-02-14,34.0,26.0,15.0,26.0,1.0,3.0,41.0
2022-02-15,36.0,32.0,11.0,26.0,3.0,3.0,41.0
2022-02-16,49.0,38.0,32.0,26.0,4.0,4.0,41.0
2022-02-17,50.0,33.0,20.0,26.0,3.0,3.0,41.0
2022-02-18,40.0,28.0,15.0,26.0,1.0,3.0,41.0
2022-02-19,38.0,37.0,18.0,26.0,2.0,3.0,41.0
2022-02-20,59.0,39.0,17.0,26.0,2.0,3.0,41.0
2022-02-21,49.0,35.0,19.0,26.0,1.0,3.0,41.0
2022-02-22,44.0,34.0,13.0,26.0,1.0,3.0,41.0
2022-02-23,40.0,28.0,10.0,26.0,1.0,2.0,41.0
2022-02-24,28.0,29.0,24.0,26.0,1.0,3.0,41.0
2022-02-25,34.0,31.0,14.0,26.0,1.0,3.0,41.0
2022-02-26,38.0,34.0,12.0,26.0,1.0,2.0,41.0
2022-02-27,41.0,39.0,12.0,26.0,1.0,2.0,41.0
2022-02-28,46.0,42.0,13.0,26.0,1.0,2.0,41.0
2022-03-01,51.0,37.0,13.0,26.0,1.0,2.0,41.0
2022-03-02,40.0,36.0,10.0,26.0,1.0,2.0,41.0
2022-03-03,41.0,33.0,9.0,26.0,1.0,2.0,41.0
2022-03-04,37.0,28.0,18.0,26.0,1.0,2.0,41.0
2022-03-05,32.0,32.0,19.0,26.0,1.0,2.0,41.0
2022-03-06,47.0,32.0,10.0,26.0,1.0,2.0,41.0
2022-03-07,35.0,27.0,8.0,26.0,2.0,4.0,41.0
2022-03-08,28.0,26.0,12.0,26.0,2.0,4.0,41.0
2022-03-09,33.0,36.0,12.0,26.0,1.0,3.0,41.0
2022-03-10,46.0,44.0,22.0,26.0,1.0,3.0,41.0
2022-03-11,60.0,48.0,31.0,26.0,1.0,4.0,41.0
2022-03-12,73.0,44.0,26.0,26.0,1.0,3.0,41.0
2022-03-13,48.0,35.0,25.0,26.0,1.0,2.0,41.0
2022-03-14,51.0,41.0,13.0,26.0,1.0,3.0,41.0
2022-03-15,65.0,42.0,29.0,26.0,1.0,4.0,41.0
2022-03-16,57.0,41.0,10.0,26.0,1.0,2.0,41.0
2022-03-17,62.0,35.0,15.0,26.0,1.0,2.0,41.0
2022-03-18,42.0,35.0,29.0,26.0,1.0,2.0,41.0
2022-03-19,52.0,37.0,27.0,26.0,1.0,2.0,41.0
2022-03-20,55.0,36.0,19.0,26.0,2.0,2.0,41.0
2022-03-21,55.0,34.0,8.0,26.0,3.0,2.0,41.0
2022-03-22,44.0,34.0,12.0,26.0,1.0,2.0,41.0
2022-03-23,46.0,40.0,17.0,26.0,1.0,3.0,41.0
2022-03-24,59.0,42.0,20.0,26.0,1.0,4.0,41.0
2022-03-25,62.0,42.0,35.0,26.0,1.0,3.0,41.0
2022-03-26,62.0,40.0,22.0,26.0,1.0,4.0,41.0
2022-03-27,57.0,38.0,19.0,26.0,2.0,5.0,41.0
2022-03-28,46.0,32.0,17.0,26.0,1.0,3.0,41.0
2022-03-29,38.0,29.0,20.0,26.0,2.0,5.0,41.0
2022-03-30,46.0,33.0,13.0,26.0,3.0,4.0,41.0
2022-03-31,52.0,40.0,38.0,26.0,3.0,4.0,41.0
2022-04-01,59.0,42.0,31.0,26.0,3.0,4.0,41.0
2022-04-02,74.0,43.0,17.0,26.0,2.0,4.0,41.0
2022-04-03,64.0,40.0,38.0,26.0,1.0,3.0,41.0
2022-04-04,62.0,37.0,17.0,26.0,1.0,3.0,41.0
2022-04-05,43.0,36.0,26.0,26.0,1.0,3.0,41.0
2022-04-06,47.0,34.0,9.0,26.0,1.0,3.0,41.0
2022-04-07,43.0,39.0,32.0,26.0,1.0,4.0,41.0
2022-04-08,62.0,34.0,13.0,26.0,2.0,3.0,41.0
2022-04-09,39.0,39.0,18.0,26.0,2.0,3.0,41.0
2022-04-10,54.0,40.0,7.0,26.0,2.0,4.0,41.0
2022-04-11,60.0,45.0,27.0,26.0,2.0,6.0,41.0
2022-04-12,85.0,50.0,14.0,26.0,2.0,5.0,41.0
2022-04-13,74.0,36.0,23.0,26.0,2.0,2.0,41.0
2022-04-14,52.0,34.0,9.0,26.0,3.0,3.0,41.0
2022-04-15,45.0,29.0,24.0,26.0,6.0,3.0,41.0
2022-04-16,47.0,30.0,26.0,26.0,2.0,2.0,41.0
2022-04-17,49.0,31.0,21.0,26.0,2.0,3.0,41.0
2022-04-18,50.0,38.0,18.0,26.0,3.0,3.0,41.0
2022-04-19,66.0,40.0,19.0,26.0,3.0,3.0,41.0
2022-04-20,66.0,39.0,6.0,26.0,3.0,3.0,41.0
2022-04-21,50.0,42.0,18.0,26.0,3.0,4.0,41.0
2022-04-22,54.0,37.0,17.0,26.0,2.0,2.0,41.0
2022-04-23,49.0,40.0,10.0,26.0,3.0,3.0,41.0
2022-04-24,50.0,35.0,9.0,26.0,3.0,2.0,41.0
2022-04-25,52.0,40.0,13.0,26.0,3.0,3.0,41.0
2022-04-26,68.0,43.0,16.0,26.0,3.0,2.0,41.0
2022-04-27,65.0,40.0,16.0,26.0,3.0,3.0,41.0
2022-04-28,56.0,43.0,29.0,26.0,3.0,3.0,41.0
2022-04-29,71.0,45.0,35.0,26.0,4.0,2.0,41.0
2022-04-30,66.0,42.0,26.0,26.0,5.0,2.0,41.0
2022-05-01,67.0,35.0,12.0,26.0,4.0,3.0,41.0
2022-05-02,35.0,29.0,17.0,26.0,3.0,3.0,41.0
2022-05-03,38.0,29.0,14.0,26.0,4.0,2.0,41.0
2022-05-04,38.0,29.0,13.0,26.0,2.0,2.0,41.0
2022-05-05,34.0,30.0,11.0,26.0,2.0,2.0,41.0
2022-05-06,38.0,29.0,9.0,26.0,2.0,2.0,41.0
2022-05-07,36.0,30.0,11.0,26.0,3.0,2.0,41.0
2022-05-08,34.0,28.0,15.0,26.0,3.0,2.0,41.0
2022-05-09,27.0,30.0,13.0,26.0,3.0,2.0,41.0
