V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1976-01-04,1089.2,1078.91,1079.88,1063.58,1060.61,1056.93,1056.63,1049.51,1049.32,1049.89,1058.65,1062.35,1064.38
1976-01-11,195.928,194.796,192.71,190.288,188.77,187.043,187.353,186.808,186.721,188.039,190.927,188.641,189.136
1976-01-18,258.7,259.8,260.2,260.8,261.1,263.1,264.5,266.3,267.2,269.2,270.7,271.7,273.6
1976-01-25,3460.0,3340.0,2770.0,2520.0,2740.0,2760.0,2470.0,2480.0,3260.0,2400.0,2250.0,2150.0,2230.0
1976-02-01,4696.0,4765.0,4144.0,3945.0,4733.0,4330.0,5046.0,3898.0,4568.0,5242.0,5095.0,5009.0,3825.0
1976-02-08,728.0,650.0,755.0,829.0,831.0,658.0,654.0,1276.0,810.0,699.0,820.0,624.0,572.0
1976-02-15,5721.0,5783.0,5757.0,6198.0,6038.0,5862.0,5741.0,5744.0,8984.0,7658.0,5301.0,5173.0,4475.0
1976-02-22,3010.0,3600.0,3910.0,3640.0,4150.0,4210.0,4890.0,6720.0,8690.0,5640.0,9750.0,6880.0,6370.0
1976-02-29,9643.0,10243.0,10935.0,9798.0,9179.0,8966.0,8795.0,8640.0,11733.0,9647.0,8751.0,8657.0,8447.0
1976-03-07,246.98,222.3,449.98,449.98,449.98,449.93,449.93,449.93,450.01,450.01,450.01,450.01,450.05
1976-03-14,1449.24,1450.67,1228.98,1069.18,1279.67,1309.94,1268.79,1268.3,1399.38,1448.36,1418.19,1190.2,1460.3
1976-03-21,1148.0,1141.0,1134.0,1127.0,1120.0,1113.0,1106.0,1099.0,1092.0,1092.0,1085.0,1079.0,1071.0
1976-03-28,730.386,738.346,743.049,736.319,730.393,731.393,730.414,729.546,732.134,735.901,735.791,735.616,737.621
1976-04-04,737.736,741.652,743.255,734.559,729.651,731.487,731.006,731.373,732.21,736.621,735.62,737.251,737.927
1976-04-11,219.05,203.96,210.91,187.09,178.13,185.23,184.66,179.86,176.04,178.5,174.21,179.59,179.12
1976-04-18,219.05,203.96,210.91,187.09,178.13,185.23,184.66,179.86,176.04,178.5,174.21,179.59,179.12
1976-04-25,1739.35,1739.36,1727.58,1727.58,1748.18,1748.18,1748.18,1754.34,1758.32,1779.9,1789.82,1801.76,1801.79
1976-05-02,532.95,532.98,533.0,533.0,512.4,512.4,512.4,512.39,513.56,509.61,516.59,517.3,517.34
1976-05-09,6704.0,6967.0,6838.0,6364.0,6032.0,12280.0,6756.0,5913.0,10972.0,7300.0,6196.0,9344.0,7224.0
1976-05-16,3477.0,3473.0,3474.0,3473.0,3755.0,3564.0,3387.0,4661.0,4250.0,3810.0,3674.0,3552.0,3482.0
1976-05-23,4771.0,3806.0,3904.0,3663.0,3496.0,3492.0,3527.0,4314.0,4482.0,3938.0,3583.0,3898.0,3495.0
1976-05-30,13970.0,11070.0,6550.0,9070.0,5980.0,6690.0,6690.0,6990.0,8100.0,6510.0,5980.0,5720.0,5950.0
1976-06-06,726.6,727.3,705.4,757.7,743.7,701.9,684.4,805.0,838.6,766.0,700.4,720.1,774.2
1976-06-13,7655.0,6839.0,6815.0,8128.0,7111.0,7284.0,7556.0,7494.0,8121.0,7109.0,6745.0,8089.0,7790.0
1976-06-20,2268.0,2447.0,2251.0,2516.0,1722.0,2060.0,2030.0,3027.0,2574.0,2380.0,1988.0,1813.0,1831.0
1976-06-27,8089.0,7304.0,7746.0,7724.0,6279.0,5970.0,5240.0,6664.0,8310.0,6259.0,6487.0,5732.0,5228.0
1976-07-04,4825.0,3262.0,3089.0,3050.0,3380.0,4174.0,3037.0,2843.0,3360.0,3745.0,3320.0,2907.0,3389.0
1976-07-11,6417.0,5957.0,5957.0,5153.0,4560.0,4489.0,3861.0,4293.0,5816.0,4724.0,4274.0,4874.0,5897.0
