,pm25
2022-01-27,76.0
2022-01-28,68.0
2022-01-29,61.0
2022-01-30,66.0
2022-01-31,62.0
2022-02-01,69.0
2022-02-02,63.0
2022-02-03,66.0
2022-02-04,71.0
2022-02-05,64.0
2022-02-06,108.0
2022-02-07,56.0
2022-02-08,51.0
2022-02-09,55.0
2022-02-10,54.0
2022-02-11,58.0
2022-02-12,61.0
2022-02-13,52.0
2022-02-14,53.0
2022-02-15,51.0
2022-02-16,54.0
2022-02-17,67.0
2022-02-18,56.0
2022-02-19,66.0
2022-02-20,63.0
2022-02-21,61.0
2022-02-22,63.0
2022-02-23,55.0
2022-02-24,49.0
2022-02-25,64.0
2022-02-26,56.0
2022-02-27,62.0
2022-02-28,68.0
2022-03-01,64.0
2022-03-02,63.0
2022-03-03,61.0
2022-03-04,52.0
2022-03-05,58.0
2022-03-06,58.0
2022-03-07,53.0
2022-03-08,51.0
2022-03-09,55.0
2022-03-10,56.0
2022-03-11,74.0
2022-03-12,80.0
2022-03-13,62.0
2022-03-14,60.0
2022-03-15,61.0
2022-03-16,63.0
2022-03-17,65.0
2022-03-18,75.0
2022-03-19,58.0
2022-03-20,60.0
2022-03-21,64.0
2022-03-22,54.0
2022-03-23,56.0
2022-03-24,62.0
2022-03-25,67.0
2022-03-26,62.0
2022-03-27,74.0
2022-03-28,63.0
2022-03-29,59.0
2022-03-30,52.0
2022-03-31,62.0
2022-04-01,84.0
2022-04-02,92.0
2022-04-03,76.0
2022-04-04,72.0
2022-04-05,61.0
2022-04-06,72.0
2022-04-07,61.0
2022-04-08,78.0
2022-04-09,59.0
2022-04-10,69.0
2022-04-11,64.0
2022-04-12,81.0
2022-04-13,78.0
2022-04-14,67.0
2022-04-15,70.0
2022-04-16,88.0
2022-04-17,80.0
2022-04-18,73.0
2022-04-19,89.0
2022-04-20,83.0
2022-04-21,77.0
2022-04-22,71.0
2022-04-23,73.0
2022-04-24,68.0
2022-04-25,62.0
2022-04-26,77.0
2022-04-27,81.0
2022-04-28,73.0
2022-04-29,78.0
2022-04-30,100.0
2022-05-01,92.0
2022-05-02,64.0
2022-05-03,63.0
2022-05-04,54.0
2022-05-05,50.0
2022-05-06,58.0
2022-05-07,58.0
2022-05-08,51.0
2022-05-09,53.0
2022-05-10,56.0
2022-05-11,67.0
2022-05-12,90.0
2022-05-13,88.0
2022-05-14,68.0
2022-05-15,93.0
2022-05-16,89.0
2022-05-17,85.0
2022-05-18,88.0
2022-05-19,99.0
2022-05-20,108.0
2022-05-21,93.0
2022-05-22,97.0
2022-05-23,85.0
2022-05-24,72.0
2022-05-25,70.0
2022-05-26,86.0
2022-05-27,94.0
2022-05-28,93.0
2022-05-29,84.0
2022-05-30,118.0
2022-05-31,97.0
2022-06-01,103.0
2022-06-02,83.0
2022-06-03,90.0
2022-06-04,72.0
2022-06-05,75.0
2022-06-06,80.0
2022-06-07,78.0
2022-06-08,83.0
2022-06-09,99.0
2022-06-10,97.0
2022-06-11,80.0
2022-06-12,73.0
2022-06-13,83.0
2022-06-14,63.0
2022-06-15,72.0
2022-06-16,69.0
2022-06-17,56.0
2022-06-18,66.0
2022-06-19,88.0
2022-06-20,63.0
2022-06-21,67.0
2022-06-22,51.0
2022-06-23,51.0
2022-06-24,53.0
2022-06-25,63.0
2022-06-26,61.0
2022-06-27,65.0
2022-06-28,64.0
2022-06-29,73.0
2022-06-30,63.0
2022-07-01,71.0
2022-07-02,87.0
2022-07-03,85.0
2022-07-04,65.0
2022-07-05,63.0
2022-07-06,57.0
2022-07-07,58.0
2022-07-08,61.0
2022-07-09,80.0
2022-07-10,65.0
2022-07-11,77.0
2022-07-12,68.0
2022-07-13,71.0
2022-07-14,61.0
2022-07-15,63.0
2022-07-16,61.0
2022-07-17,52.0
2022-07-18,64.0
2022-07-19,56.0
2022-07-20,64.0
2022-07-21,63.0
2022-07-22,60.0
2022-07-23,76.0
2022-07-24,62.0
2022-07-25,70.0
2022-07-26,55.0
2022-07-27,60.0
2022-07-28,75.0
2022-07-29,61.0
2022-07-30,54.0
2022-07-31,54.0
2022-08-01,58.0
2022-08-02,55.0
2022-08-03,56.0
2022-08-04,67.0
2022-08-05,72.0
2022-08-06,64.0
2022-08-07,58.0
2022-08-08,91.0
2022-08-09,75.0
2022-08-10,69.0
2022-08-11,59.0
2022-08-12,60.0
2022-08-13,69.0
2022-08-14,77.0
2022-08-15,69.0
2022-08-16,67.0
2022-08-17,57.0
2022-08-18,67.0
2022-08-19,58.0
2022-08-20,62.0
2022-08-21,63.0
2022-08-22,52.0
2022-08-23,57.0
2022-08-24,64.0
2022-08-25,65.0
2022-08-26,83.0
2022-08-27,80.0
2022-08-28,70.0
2022-08-29,70.0
2022-08-30,58.0
2022-08-31,59.0
2022-09-01,65.0
2022-09-02,62.0
2022-09-03,58.0
2022-09-04,61.0
2022-09-05,68.0
2022-09-06,65.0
2022-09-07,65.0
2022-09-08,71.0
2022-09-09,62.0
2022-09-10,64.0
2022-09-11,70.0
