,pm25
2022-01-27,81.0
2022-01-28,79.0
2022-01-29,121.0
2022-01-30,159.0
2022-01-31,92.0
2022-02-01,110.0
2022-02-02,61.0
2022-02-03,89.0
2022-02-04,68.0
2022-02-05,65.0
2022-02-06,55.0
2022-02-07,59.0
2022-02-08,104.0
2022-02-09,86.0
2022-02-10,52.0
2022-02-11,99.0
2022-02-12,97.0
2022-02-13,114.0
2022-02-14,129.0
2022-02-15,123.11111111111111
2022-02-16,117.22222222222223
2022-02-17,111.33333333333333
2022-02-18,105.44444444444444
2022-02-19,99.55555555555556
2022-02-20,93.66666666666666
2022-02-21,87.77777777777777
2022-02-22,81.88888888888889
2022-02-23,76.0
2022-02-24,41.0
2022-02-25,48.0
2022-02-26,55.0
2022-02-27,41.0
2022-02-28,43.0
2022-03-01,45.0
2022-03-02,47.0
2022-03-03,53.0
2022-03-04,52.0
2022-03-05,61.0
2022-03-06,48.0
2022-03-07,47.0
2022-03-08,66.0
2022-03-09,98.0
2022-03-10,111.0
2022-03-11,107.0
2022-03-12,54.0
2022-03-13,87.0
2022-03-14,107.0
2022-03-15,95.0
2022-03-16,110.0
2022-03-17,129.0
2022-03-18,109.0
2022-03-19,57.0
2022-03-20,56.0
2022-03-21,38.0
2022-03-22,72.0
2022-03-23,54.0
2022-03-24,86.0
2022-03-25,124.0
2022-03-26,115.0
2022-03-27,120.0
2022-03-28,71.0
2022-03-29,119.0
2022-03-30,146.0
2022-03-31,131.0
2022-04-01,109.0
2022-04-02,89.0
2022-04-03,49.0
2022-04-04,81.0
2022-04-05,92.0
2022-04-06,75.0
2022-04-07,99.0
2022-04-08,74.0
2022-04-09,101.0
2022-04-10,119.0
2022-04-11,108.0
2022-04-12,143.0
2022-04-13,147.0
2022-04-14,87.0
2022-04-15,117.0
2022-04-16,125.0
2022-04-17,125.0
2022-04-18,102.0
2022-04-19,110.0
2022-04-20,86.0
2022-04-21,74.0
2022-04-22,125.0
2022-04-23,104.0
2022-04-24,100.0
2022-04-25,103.0
2022-04-26,71.0
2022-04-27,80.0
2022-04-28,33.0
2022-04-29,45.0
2022-04-30,82.0
2022-05-01,119.0
2022-05-02,98.0
2022-05-03,62.0
2022-05-04,84.0
2022-05-05,72.0
2022-05-06,60.0
2022-05-07,113.0
2022-05-08,58.0
2022-05-09,82.0
2022-05-10,94.0
2022-05-11,97.0
2022-05-12,73.0
2022-05-13,55.0
2022-05-14,122.0
2022-05-15,130.0
2022-05-16,119.0
2022-05-17,101.0
2022-05-18,107.0
2022-05-19,135.0
2022-05-20,104.0
2022-05-21,83.0
2022-05-22,94.0
2022-05-23,104.0
2022-05-24,90.0
2022-05-25,113.0
2022-05-26,102.0
2022-05-27,143.0
2022-05-28,110.0
2022-05-29,68.0
2022-05-30,92.0
2022-05-31,92.0
2022-06-01,84.5
2022-06-02,77.0
2022-06-03,100.0
2022-06-04,112.0
2022-06-05,116.0
2022-06-06,107.0
2022-06-07,93.0
2022-06-08,92.0
2022-06-09,98.0
2022-06-10,93.0
2022-06-11,99.0
2022-06-12,114.0
2022-06-13,106.0
2022-06-14,119.0
2022-06-15,145.0
2022-06-16,129.0
2022-06-17,139.0
2022-06-18,138.0
2022-06-19,129.0
2022-06-20,142.0
2022-06-21,124.0
2022-06-22,129.0
2022-06-23,130.0
2022-06-24,154.0
2022-06-25,141.0
2022-06-26,132.0
2022-06-27,122.0
2022-06-28,103.0
2022-06-29,90.0
2022-06-30,103.0
2022-07-01,133.0
2022-07-02,160.0
2022-07-03,133.0
2022-07-04,72.0
2022-07-05,119.0
2022-07-06,113.0
2022-07-07,126.0
2022-07-08,96.0
2022-07-09,78.0
2022-07-10,94.0
2022-07-11,126.0
2022-07-12,142.0
2022-07-13,118.0
2022-07-14,120.0
2022-07-15,122.0
2022-07-16,124.0
2022-07-17,126.0
2022-07-18,128.0
