,pm25
2022-01-27,72.0
2022-01-28,83.0
2022-01-29,128.0
2022-01-30,145.0
2022-01-31,93.0
2022-02-01,90.0
2022-02-02,65.0
2022-02-03,85.0
2022-02-04,70.0
2022-02-05,78.0
2022-02-06,59.0
2022-02-07,58.0
2022-02-08,114.0
2022-02-09,95.0
2022-02-10,63.0
2022-02-11,124.0
2022-02-12,129.5
2022-02-13,135.0
2022-02-14,140.5
2022-02-15,146.0
2022-02-16,118.0
2022-02-17,119.0
2022-02-18,109.0
2022-02-19,124.0
2022-02-20,104.0
2022-02-21,95.0
2022-02-22,98.0
2022-02-23,97.0
2022-02-24,61.0
2022-02-25,63.0
2022-02-26,66.0
2022-02-27,55.0
2022-02-28,74.0
2022-03-01,62.0
2022-03-02,71.0
2022-03-03,56.0
2022-03-04,68.0
2022-03-05,66.0
2022-03-06,66.0
2022-03-07,60.0
2022-03-08,75.0
2022-03-09,88.33333333333333
2022-03-10,101.66666666666667
2022-03-11,115.0
2022-03-12,54.0
2022-03-13,72.0
2022-03-14,115.0
2022-03-15,96.0
2022-03-16,108.0
2022-03-17,123.0
2022-03-18,120.0
2022-03-19,68.0
2022-03-20,62.0
2022-03-21,49.0
2022-03-22,71.0
2022-03-23,52.0
2022-03-24,90.5
2022-03-25,129.0
2022-03-26,131.0
2022-03-27,129.0
2022-03-28,72.0
2022-03-29,107.0
2022-03-30,114.0
2022-03-31,88.0
2022-04-01,138.0
2022-04-02,85.0
2022-04-03,51.0
2022-04-04,91.0
2022-04-05,125.0
2022-04-06,94.0
2022-04-07,102.0
2022-04-08,73.0
2022-04-09,102.0
2022-04-10,124.0
2022-04-11,113.0
2022-04-12,155.0
2022-04-13,153.0
2022-04-14,104.0
2022-04-15,132.0
2022-04-16,125.0
2022-04-17,128.0
2022-04-18,98.0
2022-04-19,108.0
2022-04-20,86.0
2022-04-21,82.0
2022-04-22,135.0
2022-04-23,115.0
2022-04-24,106.0
2022-04-25,115.0
2022-04-26,81.0
2022-04-27,66.0
2022-04-28,56.0
2022-04-29,51.0
2022-04-30,98.0
2022-05-01,101.0
2022-05-02,103.0
2022-05-03,71.0
2022-05-04,89.0
2022-05-05,74.0
2022-05-06,65.0
2022-05-07,104.0
2022-05-08,76.0
2022-05-09,90.0
2022-05-10,103.0
2022-05-11,94.0
2022-05-12,90.0
2022-05-13,76.0
2022-05-14,117.0
2022-05-15,125.0
2022-05-16,113.0
2022-05-17,106.0
2022-05-18,115.0
2022-05-19,147.0
2022-05-20,109.0
2022-05-21,102.0
2022-05-22,108.0
2022-05-23,115.0
2022-05-24,109.0
2022-05-25,130.0
2022-05-26,106.0
2022-05-27,138.0
2022-05-28,125.0
2022-05-29,87.0
2022-05-30,93.0
2022-05-31,117.0
2022-06-01,98.0
2022-06-02,79.0
2022-06-03,99.0
2022-06-04,122.0
2022-06-05,126.0
2022-06-06,117.0
2022-06-07,107.0
2022-06-08,100.0
2022-06-09,85.0
2022-06-10,100.0
2022-06-11,102.0
2022-06-12,125.0
2022-06-13,105.0
2022-06-14,123.0
2022-06-15,152.0
2022-06-16,138.0
2022-06-17,134.0
2022-06-18,132.0
2022-06-19,135.0
2022-06-20,147.0
2022-06-21,131.0
2022-06-22,136.0
2022-06-23,130.0
2022-06-24,155.0
2022-06-25,139.0
2022-06-26,122.0
2022-06-27,117.0
2022-06-28,106.0
2022-06-29,93.0
2022-06-30,123.0
2022-07-01,142.0
2022-07-02,160.0
2022-07-03,125.0
2022-07-04,77.0
2022-07-05,106.0
2022-07-06,89.0
2022-07-07,113.0
2022-07-08,108.0
2022-07-09,98.0
2022-07-10,110.0
2022-07-11,140.0
2022-07-12,135.0
2022-07-13,127.0
2022-07-14,108.0
2022-07-15,88.0
2022-07-16,69.0
2022-07-17,98.0
2022-07-18,147.0
2022-07-19,132.0
2022-07-20,144.0
2022-07-21,137.0
2022-07-22,131.0
2022-07-23,90.0
2022-07-24,106.0
2022-07-25,97.0
2022-07-26,112.0
2022-07-27,141.0
2022-07-28,139.0
2022-07-29,103.0
2022-07-30,112.0
2022-07-31,139.0
2022-08-01,87.0
2022-08-02,148.0
2022-08-03,138.0
2022-08-04,89.0
2022-08-05,71.0
2022-08-06,105.0
2022-08-07,130.0
2022-08-08,95.0
2022-08-09,89.0
2022-08-10,120.0
2022-08-11,120.0
2022-08-12,103.0
2022-08-13,102.0
2022-08-14,105.0
2022-08-15,97.0
2022-08-16,114.0
2022-08-17,103.0
2022-08-18,97.0
2022-08-19,98.0
2022-08-20,119.0
2022-08-21,119.0
2022-08-22,115.0
2022-08-23,148.0
2022-08-24,144.0
2022-08-25,126.0
2022-08-26,158.0
2022-08-27,145.0
2022-08-28,122.0
2022-08-29,125.0
2022-08-30,123.0
2022-08-31,148.0
2022-09-01,110.0
2022-09-02,128.0
2022-09-03,97.0
2022-09-04,57.0
2022-09-05,132.0
2022-09-06,105.0
2022-09-07,110.0
2022-09-08,128.0
2022-09-09,138.0
2022-09-10,125.0
2022-09-11,113.0
2022-09-12,102.0
2022-09-13,135.0
2022-09-14,135.0
2022-09-15,134.0
2022-09-16,133.0
2022-09-17,135.0
2022-09-18,158.0
2022-09-19,138.0
2022-09-20,137.0
2022-09-21,126.0
2022-09-22,141.0
2022-09-23,138.0
2022-09-24,102.0
2022-09-25,126.0
2022-09-26,121.0
2022-09-27,102.0
2022-09-28,134.0
2022-09-29,129.0
2022-09-30,132.0
2022-10-01,103.0
2022-10-02,80.0
2022-10-03,118.0
2022-10-04,98.0
2022-10-05,106.0
2022-10-06,118.0
2022-10-07,99.0
2022-10-08,79.0
2022-10-09,119.0
2022-10-10,100.0
2022-10-11,151.0
2022-10-12,142.0
2022-10-13,123.0
2022-10-14,107.0
2022-10-15,118.0
2022-10-16,129.0
2022-10-17,126.0
2022-10-18,134.0
2022-10-19,135.0
2022-10-20,125.0
2022-10-21,86.0
2022-10-22,111.0
2022-10-23,87.0
2022-10-24,62.0
2022-10-25,83.0
2022-10-26,68.0
2022-10-27,98.0
2022-10-28,94.0
2022-10-29,99.0
2022-10-30,91.0
2022-10-31,97.0
2022-11-01,127.0
2022-11-02,127.0
2022-11-03,114.0
2022-11-04,137.0
2022-11-05,123.0
2022-11-06,91.0
