,pm25
2022-01-27,84.0
2022-01-28,97.0
2022-01-29,80.0
2022-01-30,93.0
2022-01-31,86.0
2022-02-01,90.0
2022-02-02,48.0
2022-02-03,78.0
2022-02-04,79.0
2022-02-05,53.0
2022-02-06,36.0
2022-02-07,52.0
2022-02-08,65.0
2022-02-09,58.0
2022-02-10,63.0
2022-02-11,58.0
2022-02-12,55.0
2022-02-13,72.0
2022-02-14,55.0
2022-02-15,53.0
2022-02-16,45.0
2022-02-17,44.0
2022-02-18,43.0
2022-02-19,57.0
2022-02-20,101.0
2022-02-21,86.0
2022-02-22,83.0
2022-02-23,74.0
2022-02-24,55.0
2022-02-25,83.0
2022-02-26,83.0
2022-02-27,55.0
2022-02-28,54.0
2022-03-01,43.0
2022-03-02,70.0
2022-03-03,65.0
2022-03-04,51.0
2022-03-05,51.0
2022-03-06,42.0
2022-03-07,58.0
2022-03-08,21.0
2022-03-09,49.0
2022-03-10,40.0
2022-03-11,69.0
2022-03-12,62.0
2022-03-13,93.0
2022-03-14,51.0
2022-03-15,57.0
2022-03-16,31.0
2022-03-17,43.0
2022-03-18,50.0
2022-03-19,33.0
2022-03-20,63.0
2022-03-21,68.0
2022-03-22,69.0
2022-03-23,82.0
2022-03-24,77.0
2022-03-25,69.0
2022-03-26,79.0
2022-03-27,109.0
2022-03-28,123.0
2022-03-29,98.0
2022-03-30,74.0
2022-03-31,92.0
2022-04-01,100.0
2022-04-02,98.0
2022-04-03,86.0
2022-04-04,86.0
2022-04-05,78.0
2022-04-06,94.0
2022-04-07,47.0
2022-04-08,69.0
2022-04-09,68.0
2022-04-10,88.0
2022-04-11,62.0
2022-04-12,55.0
2022-04-13,90.0
2022-04-14,85.0
2022-04-15,116.0
2022-04-16,63.0
2022-04-17,75.0
2022-04-18,86.0
2022-04-19,70.0
2022-04-20,57.0
2022-04-21,57.0
2022-04-22,81.0
2022-04-23,65.0
2022-04-24,54.0
2022-04-25,52.0
2022-04-26,79.0
2022-04-27,80.0
2022-04-28,92.0
2022-04-29,73.0
2022-04-30,95.0
2022-05-01,77.0
2022-05-02,39.0
2022-05-03,34.0
2022-05-04,19.0
2022-05-05,38.0
2022-05-06,38.0
2022-05-07,43.0
2022-05-08,44.0
2022-05-09,88.0
2022-05-10,65.0
2022-05-11,68.0
2022-05-12,74.0
2022-05-13,75.0
2022-05-14,82.0
2022-05-15,67.0
2022-05-16,91.0
2022-05-17,70.0
2022-05-18,86.0
2022-05-19,85.0
2022-05-20,75.0
2022-05-21,72.0
2022-05-22,88.0
2022-05-23,71.0
2022-05-24,67.0
2022-05-25,67.0
2022-05-26,111.0
2022-05-27,116.0
2022-05-28,89.0
2022-05-29,113.0
2022-05-30,72.0
2022-05-31,94.0
2022-06-01,82.0
2022-06-02,62.0
2022-06-03,90.0
2022-06-04,67.0
2022-06-05,78.0
2022-06-06,88.0
2022-06-07,82.0
2022-06-08,104.0
2022-06-09,70.0
2022-06-10,51.0
2022-06-11,52.96296296296296
2022-06-12,54.925925925925924
2022-06-13,56.888888888888886
2022-06-14,58.851851851851855
2022-06-15,60.81481481481482
2022-06-16,62.77777777777778
2022-06-17,64.74074074074075
2022-06-18,66.70370370370371
2022-06-19,68.66666666666667
2022-06-20,70.62962962962963
2022-06-21,72.5925925925926
2022-06-22,74.55555555555556
2022-06-23,76.51851851851852
2022-06-24,78.48148148148148
2022-06-25,80.44444444444444
2022-06-26,82.4074074074074
2022-06-27,84.37037037037038
2022-06-28,86.33333333333334
2022-06-29,88.2962962962963
2022-06-30,90.25925925925927
2022-07-01,92.22222222222223
2022-07-02,94.18518518518519
2022-07-03,96.14814814814815
2022-07-04,98.11111111111111
2022-07-05,100.07407407407408
2022-07-06,102.03703703703704
2022-07-07,104.0
2022-07-08,44.0
2022-07-09,99.0
2022-07-10,71.0
2022-07-11,79.0
2022-07-12,88.0
2022-07-13,67.0
2022-07-14,80.0
2022-07-15,68.0
2022-07-16,61.0
2022-07-17,76.0
2022-07-18,101.0
2022-07-19,80.0
2022-07-20,60.0
2022-07-21,81.0
2022-07-22,70.0
2022-07-23,65.0
2022-07-24,59.0
2022-07-25,50.0
2022-07-26,64.0
2022-07-27,69.0
2022-07-28,101.0
2022-07-29,83.0
2022-07-30,60.0
2022-07-31,81.0
2022-08-01,70.0
2022-08-02,89.0
2022-08-03,54.0
2022-08-04,83.0
2022-08-05,79.0
2022-08-06,75.0
2022-08-07,71.0
2022-08-08,110.0
2022-08-09,84.0
2022-08-10,118.0
2022-08-11,73.0
2022-08-12,74.0
2022-08-13,83.0
2022-08-14,82.0
2022-08-15,61.0
2022-08-16,56.0
2022-08-17,71.0
2022-08-18,67.0
2022-08-19,72.0
2022-08-20,40.0
2022-08-21,56.0
2022-08-22,34.0
2022-08-23,58.0
2022-08-24,64.0
2022-08-25,71.0
2022-08-26,88.0
2022-08-27,65.0
2022-08-28,56.0
2022-08-29,97.0
2022-08-30,65.0
2022-08-31,72.0
2022-09-01,65.0
2022-09-02,53.0
2022-09-03,49.0
2022-09-04,114.0
2022-09-05,95.0
2022-09-06,86.0
2022-09-07,66.0
2022-09-08,87.0
2022-09-09,68.0
2022-09-10,51.0
2022-09-11,52.0
2022-09-12,71.0
2022-09-13,88.0
2022-09-14,78.0
2022-09-15,89.0
2022-09-16,89.0
2022-09-17,87.0
2022-09-18,69.0
2022-09-19,47.0
2022-09-20,81.0
2022-09-21,77.0
2022-09-22,75.0
2022-09-23,121.0
2022-09-24,100.0
2022-09-25,104.0
2022-09-26,80.0
2022-09-27,101.0
2022-09-28,112.0
2022-09-29,94.0
2022-09-30,79.0
2022-10-01,94.0
2022-10-02,43.0
2022-10-03,51.0
2022-10-04,52.0
2022-10-05,57.0
2022-10-06,78.0
2022-10-07,51.0
2022-10-08,41.0
2022-10-09,48.0
2022-10-10,40.0
2022-10-11,59.0
2022-10-12,72.0
2022-10-13,83.0
2022-10-14,37.0
2022-10-15,76.0
2022-10-16,50.0
2022-10-17,40.0
2022-10-18,69.0
2022-10-19,69.0
2022-10-20,48.0
2022-10-21,76.0
