,pm25
2022-01-27,58.0
2022-01-28,63.0
2022-01-29,81.0
2022-01-30,53.0
2022-01-31,59.0
2022-02-01,67.0
2022-02-02,54.0
2022-02-03,68.0
2022-02-04,55.0
2022-02-05,51.0
2022-02-06,52.0
2022-02-07,33.0
2022-02-08,44.0
2022-02-09,30.0
2022-02-10,65.0
2022-02-11,50.0
2022-02-12,59.0
2022-02-13,48.0
2022-02-14,58.0
2022-02-15,33.0
2022-02-16,40.0
2022-02-17,41.0
2022-02-18,30.0
2022-02-19,25.0
2022-02-20,76.0
2022-02-21,55.0
2022-02-22,46.0
2022-02-23,46.0
2022-02-24,43.0
2022-02-25,53.0
2022-02-26,46.0
2022-02-27,65.0
2022-02-28,58.0
2022-03-01,93.0
2022-03-02,59.0
2022-03-03,51.0
2022-03-04,32.0
2022-03-05,37.0
2022-03-06,42.0
2022-03-07,50.0
2022-03-08,47.0
2022-03-09,35.0
2022-03-10,26.0
2022-03-11,57.0
2022-03-12,80.0
2022-03-13,56.0
2022-03-14,52.0
2022-03-15,39.0
2022-03-16,53.0
2022-03-17,61.0
2022-03-18,48.0
2022-03-19,45.0
2022-03-20,51.0
2022-03-21,75.0
2022-03-22,56.0
2022-03-23,66.0
2022-03-24,81.0
2022-03-25,71.0
2022-03-26,91.0
2022-03-27,73.0
2022-03-28,66.0
2022-03-29,61.0
2022-03-30,85.0
2022-03-31,96.0
2022-04-01,84.0
2022-04-02,48.0
2022-04-03,38.0
2022-04-04,31.0
2022-04-05,39.0
2022-04-06,38.0
2022-04-07,36.0
2022-04-08,46.0
2022-04-09,50.0
2022-04-10,85.0
2022-04-11,68.0
2022-04-12,76.0
2022-04-13,89.0
2022-04-14,86.0
2022-04-15,76.0
2022-04-16,79.0
2022-04-17,66.0
2022-04-18,66.0
2022-04-19,58.0
2022-04-20,42.0
2022-04-21,39.0
2022-04-22,39.0
2022-04-23,71.0
2022-04-24,53.0
2022-04-25,66.0
2022-04-26,67.0
2022-04-27,84.0
2022-04-28,76.0
2022-04-29,45.0
2022-04-30,33.0
2022-05-01,41.0
2022-05-02,59.0
2022-05-03,45.0
2022-05-04,51.0
2022-05-05,58.0
2022-05-06,71.0
2022-05-07,77.0
2022-05-08,77.0
2022-05-09,47.0
2022-05-10,76.0
2022-05-11,69.0
2022-05-12,92.0
2022-05-13,63.0
2022-05-14,46.0
2022-05-15,39.0
2022-05-16,41.0
2022-05-17,87.0
2022-05-18,72.0
2022-05-19,47.0
2022-05-20,55.0
2022-05-21,43.0
2022-05-22,59.0
2022-05-23,60.0
2022-05-24,60.0
2022-05-25,66.0
2022-05-26,64.0
2022-05-27,78.0
2022-05-28,67.0
2022-05-29,79.0
2022-05-30,62.0
2022-05-31,79.0
2022-06-01,87.0
2022-06-02,46.0
2022-06-03,52.0
2022-06-04,70.0
2022-06-05,66.0
2022-06-06,73.0
2022-06-07,85.0
2022-06-08,64.0
2022-06-09,83.0
2022-06-10,65.0
2022-06-11,64.0
2022-06-12,73.0
2022-06-13,82.0
2022-06-14,91.0
2022-06-15,69.0
2022-06-16,60.0
2022-06-17,50.0
2022-06-18,61.0
2022-06-19,71.0
2022-06-20,67.0
2022-06-21,83.0
2022-06-22,90.0
2022-06-23,67.0
2022-06-24,60.0
2022-06-25,68.0
2022-06-26,72.0
2022-06-27,42.0
2022-06-28,38.0
2022-06-29,55.0
2022-06-30,52.0
2022-07-01,77.0
2022-07-02,80.0
2022-07-03,44.0
2022-07-04,54.0
2022-07-05,86.0
2022-07-06,57.0
2022-07-07,57.0
2022-07-08,30.0
2022-07-09,47.0
2022-07-10,64.0
2022-07-11,81.0
2022-07-12,83.0
2022-07-13,77.0
2022-07-14,89.0
2022-07-15,70.0
2022-07-16,79.0
2022-07-17,51.0
2022-07-18,69.0
2022-07-19,78.0
2022-07-20,101.0
2022-07-21,71.0
2022-07-22,61.0
2022-07-23,77.0
2022-07-24,35.0
2022-07-25,65.0
