,pm25
2022-01-27,146.0
2022-01-28,145.5
2022-01-29,145.0
2022-01-30,88.0
2022-01-31,90.0
2022-02-01,110.0
2022-02-02,108.0
2022-02-03,108.0
2022-02-04,124.0
2022-02-05,128.0
2022-02-06,94.0
2022-02-07,97.0
2022-02-08,85.0
2022-02-09,110.0
2022-02-10,75.0
2022-02-11,110.0
2022-02-12,97.0
2022-02-13,78.0
2022-02-14,101.0
2022-02-15,63.0
2022-02-16,61.0
2022-02-17,76.0
2022-02-18,123.0
2022-02-19,104.0
2022-02-20,114.0
2022-02-21,108.25
2022-02-22,102.5
2022-02-23,96.75
2022-02-24,91.0
2022-02-25,101.0
2022-02-26,71.0
2022-02-27,41.0
2022-02-28,48.0
2022-03-01,76.0
2022-03-02,90.0
2022-03-03,71.0
2022-03-04,86.0
2022-03-05,79.0
2022-03-06,105.0
2022-03-07,84.0
2022-03-08,53.0
2022-03-09,66.0
2022-03-10,59.0
2022-03-11,91.0
2022-03-12,93.0
2022-03-13,119.0
2022-03-14,110.0
2022-03-15,114.0
2022-03-16,96.0
2022-03-17,68.0
2022-03-18,86.0
2022-03-19,88.0
2022-03-20,77.0
2022-03-21,85.0
2022-03-22,107.0
2022-03-23,108.0
2022-03-24,80.0
2022-03-25,107.0
2022-03-26,87.0
2022-03-27,108.0
2022-03-28,106.0
2022-03-29,106.0
2022-03-30,85.0
2022-03-31,82.5
2022-04-01,80.0
2022-04-02,96.0
2022-04-03,64.0
2022-04-04,63.0
2022-04-05,75.0
2022-04-06,78.0
2022-04-07,88.0
2022-04-08,90.0
2022-04-09,64.0
2022-04-10,95.0
2022-04-11,84.0
2022-04-12,88.0
2022-04-13,90.0
2022-04-14,71.0
2022-04-15,68.0
2022-04-16,87.0
2022-04-17,67.0
2022-04-18,81.0
2022-04-19,94.0
2022-04-20,84.0
2022-04-21,116.0
2022-04-22,126.0
2022-04-23,113.0
2022-04-24,158.0
2022-04-25,134.0
2022-04-26,86.0
2022-04-27,96.0
2022-04-28,116.0
2022-04-29,86.0
2022-04-30,75.0
2022-05-01,84.0
2022-05-02,66.0
2022-05-03,48.0
2022-05-04,60.0
2022-05-05,58.0
2022-05-06,63.0
2022-05-07,71.0
2022-05-08,63.0
2022-05-09,110.0
2022-05-10,99.0
2022-05-11,79.0
2022-05-12,80.0
2022-05-13,112.0
2022-05-14,107.0
2022-05-15,82.0
2022-05-16,99.0
2022-05-17,86.0
2022-05-18,99.0
2022-05-19,107.0
2022-05-20,101.0
2022-05-21,84.0
2022-05-22,82.0
2022-05-23,87.0
2022-05-24,126.0
2022-05-25,121.9090909090909
2022-05-26,117.81818181818181
2022-05-27,113.72727272727273
2022-05-28,109.63636363636364
2022-05-29,105.54545454545455
2022-05-30,101.45454545454545
2022-05-31,97.36363636363637
2022-06-01,93.27272727272728
2022-06-02,89.18181818181819
2022-06-03,85.0909090909091
2022-06-04,81.0
2022-06-05,74.0
2022-06-06,95.0
2022-06-07,88.0
2022-06-08,112.0
2022-06-09,125.0
2022-06-10,118.0
2022-06-11,101.0
2022-06-12,58.0
2022-06-13,101.0
2022-06-14,111.0
2022-06-15,106.0
2022-06-16,71.0
2022-06-17,114.0
2022-06-18,103.0
2022-06-19,101.0
2022-06-20,126.0
2022-06-21,104.0
2022-06-22,78.0
2022-06-23,64.0
2022-06-24,62.0
2022-06-25,72.0
2022-06-26,99.0
2022-06-27,121.0
2022-06-28,105.0
2022-06-29,108.0
2022-06-30,81.0
2022-07-01,95.0
2022-07-02,71.0
2022-07-03,68.0
2022-07-04,102.0
2022-07-05,86.0
2022-07-06,99.0
2022-07-07,115.0
2022-07-08,88.0
2022-07-09,103.0
2022-07-10,91.0
2022-07-11,131.0
2022-07-12,96.0
2022-07-13,93.0
2022-07-14,115.0
2022-07-15,80.0
2022-07-16,92.0
2022-07-17,137.0
2022-07-18,117.0
2022-07-19,135.0
2022-07-20,109.0
2022-07-21,97.0
2022-07-22,93.0
2022-07-23,125.0
2022-07-24,86.0
2022-07-25,90.0
2022-07-26,105.0
2022-07-27,57.0
2022-07-28,76.0
2022-07-29,77.0
2022-07-30,71.0
2022-07-31,78.0
2022-08-01,133.0
2022-08-02,114.0
2022-08-03,73.0
2022-08-04,90.0
2022-08-05,123.0
2022-08-06,88.0
2022-08-07,104.0
2022-08-08,143.0
2022-08-09,110.0
2022-08-10,116.0
2022-08-11,107.0
2022-08-12,108.0
2022-08-13,96.0
2022-08-14,118.0
2022-08-15,85.0
2022-08-16,69.0
2022-08-17,97.0
2022-08-18,59.0
2022-08-19,113.0
2022-08-20,101.0
2022-08-21,57.0
2022-08-22,70.0
