,pm25
2022-01-27,30.0
2022-01-28,29.0
2022-01-29,29.0
2022-01-30,34.0
2022-01-31,40.0
2022-02-01,41.0
2022-02-02,42.0
2022-02-03,43.0
2022-02-04,38.0
2022-02-05,50.0
2022-02-06,24.0
2022-02-07,34.0
2022-02-08,37.0
2022-02-09,21.0
2022-02-10,44.0
2022-02-11,39.333333333333336
2022-02-12,34.666666666666664
2022-02-13,30.0
2022-02-14,25.333333333333332
2022-02-15,20.666666666666664
2022-02-16,16.0
2022-02-17,26.0
2022-02-18,25.0
2022-02-19,23.0
2022-02-20,25.0
2022-02-21,27.0
2022-02-22,27.0
2022-02-23,13.0
2022-02-24,24.0
2022-02-25,25.0
2022-02-26,26.0
2022-02-27,24.0
2022-02-28,32.0
2022-03-01,17.0
2022-03-02,22.0
2022-03-03,26.0
2022-03-04,23.0
2022-03-05,27.0
2022-03-06,15.0
2022-03-07,14.0
2022-03-08,25.0
2022-03-09,39.0
2022-03-10,24.0
2022-03-11,31.0
2022-03-12,34.0
2022-03-13,10.0
2022-03-14,22.0
2022-03-15,32.0
2022-03-16,20.0
2022-03-17,23.0
2022-03-18,22.0
2022-03-19,8.0
2022-03-20,13.25
2022-03-21,18.5
2022-03-22,23.75
2022-03-23,29.0
2022-03-24,18.0
2022-03-25,13.0
2022-03-26,23.0
2022-03-27,37.0
2022-03-28,36.0
2022-03-29,34.0
2022-03-30,35.0
2022-03-31,38.0
2022-04-01,39.0
2022-04-02,44.0
2022-04-03,17.0
2022-04-04,28.0
2022-04-05,28.0
2022-04-06,36.0
2022-04-07,31.0
2022-04-08,36.0
2022-04-09,27.0
2022-04-10,34.0
2022-04-11,33.0
2022-04-12,45.0
2022-04-13,42.0
2022-04-14,32.0
2022-04-15,22.0
2022-04-16,26.0
2022-04-17,25.0
2022-04-18,43.0
2022-04-19,39.0
2022-04-20,32.0
2022-04-21,42.0
2022-04-22,36.0
2022-04-23,19.0
2022-04-24,42.0
2022-04-25,30.0
2022-04-26,19.0
2022-04-27,19.0
2022-04-28,33.0
2022-04-29,29.0
2022-04-30,35.0
2022-05-01,26.0
2022-05-02,27.0
2022-05-03,19.0
2022-05-04,15.0
2022-05-05,24.0
2022-05-06,24.333333333333332
2022-05-07,24.666666666666668
2022-05-08,25.0
2022-05-09,18.0
2022-05-10,21.0
2022-05-11,31.0
2022-05-12,29.0
2022-05-13,17.0
2022-05-14,24.0
2022-05-15,33.0
2022-05-16,34.0
2022-05-17,18.0
2022-05-18,14.0
2022-05-19,33.0
2022-05-20,31.0
2022-05-21,19.0
2022-05-22,18.0
2022-05-23,35.0
2022-05-24,35.0
2022-05-25,31.0
