,pm25
2022-01-27,69.0
2022-01-28,94.0
2022-01-29,119.0
2022-01-30,116.0
2022-01-31,113.0
2022-02-01,127.0
2022-02-02,60.0
2022-02-03,65.0
2022-02-04,84.0
2022-02-05,78.0
2022-02-06,61.0
2022-02-07,47.0
2022-02-08,62.0
2022-02-09,79.0
2022-02-10,63.0
2022-02-11,75.0
2022-02-12,55.0
2022-02-13,37.0
2022-02-14,55.0
2022-02-15,77.0
2022-02-16,86.0
2022-02-17,65.0
2022-02-18,53.0
2022-02-19,51.0
2022-02-20,63.0
2022-02-21,73.5
2022-02-22,84.0
2022-02-23,89.0
2022-02-24,90.0
2022-02-25,73.0
2022-02-26,77.0
2022-02-27,66.0
2022-02-28,55.0
2022-03-01,68.0
2022-03-02,79.0
2022-03-03,84.0
2022-03-04,76.0
2022-03-05,89.0
2022-03-06,57.0
2022-03-07,64.0
2022-03-08,65.0
2022-03-09,83.0
2022-03-10,65.0
2022-03-11,68.0
2022-03-12,75.0
2022-03-13,57.0
2022-03-14,68.0
2022-03-15,74.0
2022-03-16,77.0
2022-03-17,80.0
2022-03-18,93.0
2022-03-19,92.0
2022-03-20,64.0
2022-03-21,64.0
2022-03-22,73.0
2022-03-23,72.875
2022-03-24,72.75
2022-03-25,72.625
2022-03-26,72.5
2022-03-27,72.375
2022-03-28,72.25
2022-03-29,72.125
2022-03-30,72.0
2022-03-31,71.875
2022-04-01,71.75
2022-04-02,71.625
2022-04-03,71.5
2022-04-04,71.375
2022-04-05,71.25
2022-04-06,71.125
2022-04-07,71.0
2022-04-08,77.0
2022-04-09,89.0
2022-04-10,74.0
2022-04-11,90.0
2022-04-12,95.0
2022-04-13,121.0
2022-04-14,98.0
2022-04-15,88.0
2022-04-16,103.0
2022-04-17,120.0
2022-04-18,135.0
2022-04-19,78.0
2022-04-20,74.0
2022-04-21,68.0
2022-04-22,80.0
2022-04-23,81.0
2022-04-24,99.0
2022-04-25,90.0
2022-04-26,61.0
2022-04-27,77.0
2022-04-28,63.0
2022-04-29,87.0
2022-04-30,77.0
2022-05-01,65.0
2022-05-02,80.0
2022-05-03,64.0
2022-05-04,57.0
2022-05-05,47.0
2022-05-06,79.0
2022-05-07,72.0
2022-05-08,69.0
2022-05-09,72.0
2022-05-10,57.0
2022-05-11,53.0
2022-05-12,68.0
2022-05-13,89.0
2022-05-14,80.0
2022-05-15,71.0
2022-05-16,74.0
2022-05-17,80.0
2022-05-18,107.0
2022-05-19,52.0
